sample,temperature,residence_time,pressure,heat_rate,wc,vm,fc,ac,c,h,o,n,s,cl,hc,oc,lhv,devol_yield,Category
digestate_pe_399,800,1.5,1.0,1000,7.548,63.518,11.396,17.538,49.83648,7.5183,15.61,1.78328,0.16386,0.00104,1.682,0.296,23.2398,52.66734625,mix
digestate_pe_401,800,1.5,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,32.65444671,mix
digestate_pe_402,800,1.5,1.0,1000,7.752,62.532,11.704,18.012,48.88752,7.3092,16.04,1.83072,0.16664,0.00096,1.668,0.304,22.6102,31.45491803,mix
digestate_pe_476,800,1.5,1.0,1000,7.752,62.532,11.704,18.012,48.88752,7.3092,16.04,1.83072,0.16664,0.00096,1.668,0.304,22.6102,59.27041499,mix
digestate_pe_477,800,1.5,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,38.30006882,mix
digestate_pe_403,800,1.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,37.10057181,mix
digestate_pe_404,800,1.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,25.11179911,mix
digestate_pe_406,800,1.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,51.20357634,mix
digestate_pe_479,800,1.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,42.06349206,mix
digestate_pe_480,800,1.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,35.47940464,mix
digestate_pe_408,800,0.5,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,36.5259183,mix
digestate_pe_409,800,0.5,1.0,1000,7.752,62.532,11.704,18.012,48.88752,7.3092,16.04,1.83072,0.16664,0.00096,1.668,0.304,22.6102,35.73825503,mix
digestate_pe_410,800,0.5,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,8.372721134,mix
digestate_pe_481,800,0.5,1.0,1000,7.752,62.532,11.704,18.012,48.88752,7.3092,16.04,1.83072,0.16664,0.00096,1.668,0.304,22.6102,20.65466448,mix
digestate_pe_482,800,0.5,1.0,1000,7.752,62.532,11.704,18.012,48.88752,7.3092,16.04,1.83072,0.16664,0.00096,1.668,0.304,22.6102,34.95016611,mix
digestate_pe_411,600,5.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,46.65523156,mix
digestate_pe_412,600,5.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,52.54755435,mix
digestate_pe_414,600,5.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,34.64052288,mix
digestate_pe_469,600,5.0,1.0,1000,7.752,62.532,11.704,18.012,48.88752,7.3092,16.04,1.83072,0.16664,0.00096,1.668,0.304,22.6102,49.74874372,mix
